filename,tone,confidence,reason,transcription,nli_suspense,nli_urgency,nli_dramatic_emphasis,nli_calm,duration,mean_energy,std_energy,mean_pitch,std_pitch,mean_zcr,tempo
4077-13754-0009.wav,suspense,0.3,LLM skipped.,"At the inception of plural marriage among the Latter-day Saints, there was no law, national or state, against its practice.",0.3,0.0818,0.1639,0.0097,6.78,0.04175,0.0238,173.59,34.54,0.17839,93.75
4077-13754-0010.wav,suspense,0.404,LLM skipped.,"In 1862, a law was enacted with the purpose of suppressing plural marriage, and, as had been predicted in the National Senate prior to its passage, it lay for many years a dead letter.",0.4035,0.2341,0.28,0.0114,11.17,0.03734,0.02295,174.82,41.42,0.16613,144.23
4077-13754-0011.wav,suspense,0.241,LLM skipped.,"federal judges and United States attorneys in Utah, who are not Mormons nor lovers of Mormonism, refuse to entertain complaints or prosecute cases under the law because of its manifest injustice and inadequacy.",0.2411,0.0842,0.1215,0.0084,13.25,0.0376,0.02381,171.36,30.94,0.17099,110.29
4077-13754-0012_chunk_1.wav,suspense,0.364,LLM skipped.,"This meant that for an alleged misdemeanor, for which Congress prescribed a maximum penalty of six months imprisonment and a fine of three hundred dollars, a man might be imprisoned for life, I for many terms of a man's natural life,",0.3644,0.234,0.1529,0.0049,14.49,0.03374,0.02266,167.55,26.22,0.16595,110.29
4077-13754-0012_chunk_2.wav,suspense,0.757,LLM skipped.,"life, I for many terms have amends natural life, did the court's power to enforce its sentences extend so far, and might be fined millions of dollars.",0.7575,0.483,0.3962,0.0058,9.76,0.03639,0.02286,171.79,34.55,0.17873,117.19
4077-13754-0013.wav,suspense,0.672,LLM skipped.,"Before this travesty on the administration of law could be brought before the court of last resort, and there met with the reversal and rebuke it deserved, men were imprisoned under sentence of many years' duration.",0.6722,0.3557,0.3439,0.0043,12.03,0.03453,0.02274,165.11,33.15,0.14596,156.25
4077-13754-0014.wav,suspense,0.565,LLM skipped.,"The people contested these measures one by one in the courts, presenting in case after case the different phases of the subject and urging the unconstitutionality of the measure.",0.5648,0.2087,0.2911,0.0076,10.18,0.03767,0.02264,167.11,29.84,0.16998,117.19
4077-13754-0015_chunk_1.wav,suspense,0.416,LLM skipped.,"Then the Church was disincorporated, and its property both real and personal confiscated and eschewed to the government of the United States. And although the personal property was soon restored, real estate of great value long lay",0.4162,0.2777,0.2505,0.0346,14.55,0.03516,0.02649,170.81,35.21,0.15277,110.29
4077-13754-0015_chunk_2.wav,suspense,0.49,LLM skipped.,"restored, real estate of great value long lay in the hands of the court's receiver, and the Mormon Church had to pay the national government high rental on its own property.",0.4901,0.3049,0.2955,0.0123,9.7,0.03262,0.02004,165.31,29.65,0.14107,133.93
4077-13754-0016.wav,suspense,0.452,LLM skipped.,"And so the story of Mormonism runs on. Its finale has not yet been written. The current press presents continuously new stages of its progress, new developments of its plan.",0.4515,0.3395,0.2842,0.016,11.04,0.03502,0.0246,168.89,29.21,0.15745,110.29
